author_name,Gender,Gender Probability
Sven Seuken,male,1.0
Yun Liu,female,0.62
Han Wu,male,1.0
Wei Liu,male,0.69
Shaojie Shen,male,0.88
Moinul Morshed Porag Chowdhury,male,0.97
Michael P. Wellman,male,1.0
Ian A. Kash,male,1.0
Wei Cheng,male,0.88
Ximing Li,male,0.78
Sanjiang Li,male,1.0
Annemarie Borg,female,1.0
Wei Wu,male,1.0
Shanghua Gao,male,0.86
Huapeng Xu,male,1.0
Rann Smorodinsky,male,0.54
Xiangnan He,male,0.77
Ke Wang,male,0.84
Zhoujun Li,male,0.67
Sanjukta Roy,female,0.99
Libo Zhang,male,0.83
Ilya Loshchilov,male,0.97
Matjaz Gams,male,0.98
Jaewoo Kang,male,1.0
Ji Liu,male,0.75
Yuanxing Zhang,male,0.76
Joo-Hwee Lim,male,0.74
Nils M. Kriege,male,1.0
Tetsuya Sakurai,male,1.0
Wassila Ouerdane,female,0.97
Yupei Wang,female,0.64
Bo Xu,male,0.77
Adnan Darwiche,male,0.99
Hainan Zhang,male,0.7
Wenming Zheng,male,0.92
Nikolay Atanasov,male,1.0
Chiaki Sakama,female,0.94
Roie Zivan,male,0.94
Xuan Dong,female,0.61
Jing Qin,female,0.5
Dina Barak-Pelleg,female,0.98
Yueying Kao,female,0.96
Ruocheng Guo,male,1.0
Yan Xu,female,1.0
Dawei Yin,male,0.98
Gang Pan,female,1.0
Quang Pham,male,0.99
Hoai Minh Le,female,0.56
Kuang-Jui Hsu,male,0.51
Pascal Poupart,male,0.99
Anupreet Porwal,female,0.67
Fajie Yuan,male,0.86
Jonathan Poon,male,1.0
Seokjun Seo,male,1.0
Joseph Kim,male,1.0
Felipe Leno da Silva,male,1.0
Malcolm I. Heywood,male,1.0
Jiafeng Guo,male,0.75
Guowei Wang,male,0.96
Wei Zheng,male,0.94
Carlo Zaniolo,male,0.99
Thorsten Engesser,male,1.0
Eamonn J. Keogh,male,1.0
Ting Liu,female,0.66
Xueqi Cheng,female,0.87
Subbarao Kambhampati,male,0.97
Jia-Huai You,unknown,0.0
De-Chuan Zhan,unknown,0.0
Fei Yin,female,0.89
Hsuan-Kung Yang,male,0.58
Junyang Lin,male,0.91
Víctor Gutiérrez-Basulto,male,0.99
Thorsten Joachims,male,1.0
Shigeo Matsubara,male,1.0
Jonathan Laurent,male,1.0
Wei Feng,male,0.92
Yu Zheng,male,0.9
Zhongzhou Zhao,male,1.0
Rohan Chitnis,male,0.99
Xu Ouyang,male,0.91
Zenglin Xu,male,1.0
Yang Liu,male,0.58
Xiaoyu Liu,female,0.69
Francisco C. Santos,female,1.0
Guolong Wang,male,1.0
Chao Li,male,1.0
Baihua Zheng,male,0.63
Wenye Li,female,0.57
Thomas Pellissier Tanon,male,1.0
Chi-Hung Chi,male,0.96
Tristan Charrier,male,0.98
Xin Cao,female,0.64
Yu He,male,0.75
Yunzhe Tao,male,0.79
Jian Zhang,male,1.0
Sophie Tourret,female,0.99
Shuo Chen,male,0.66
Muheng Yan,male,1.0
Xiaojiang Chen,male,0.8
Zhidong Deng,male,0.91
Bihan Wen,female,0.62
Yangyang Kang,female,0.66
Ioannis Mollas,male,1.0
Hao Wu,male,1.0
Feng Zhu,female,1.0
Weiyu Cheng,male,1.0
Jia Liang,male,0.93
Zhirong Wang,male,0.8
Guiliang Liu,male,1.0
Yuxin Yuan,female,0.94
Peter A. Flach,male,1.0
Mladen Dimovski,male,0.99
Tran V. Phuong,female,0.78
Xiaoying Ren,female,0.95
Kai Zhao,male,1.0
Wensheng Zhang,male,0.94
Xianglong Liu,male,0.98
N. Alberto Borghese,male,1.0
Xinxin Wang,female,0.73
Cheng-Lin Liu,male,0.8
Feiyang Pan,male,0.56
Richard Cole,male,1.0
Mayank Vatsa,male,1.0
Dacheng Tao,male,1.0
Huazhu Fu,female,0.57
Valeria Fionda,female,0.99
Amin Ghafouri,male,0.97
Zhongyu Wei,male,0.69
Jielun Qu,male,1.0
Yi Yu,female,0.57
Avik Ray,male,1.0
Haifeng Zhang,male,0.93
Evdokia Nikolova,female,1.0
Yue Gao,female,0.67
Meng Wang,male,1.0
Giovanni Sartor,male,0.99
Xi Peng,female,0.88
